,PN17
0,APFT BERHAD
1,BARAKAH OFFSHORE PETROLEUM BERHAD
2,BERJAYA MEDIA BERHAD
3,BERTAM ALLIANCE BERHAD
4,BRAHIMâ€™S HOLDINGS BERHAD
5,CHINA AUTOMOBILE PARTS HOLDINGS LIMITED
6,COMINTEL CORPORATION BHD
7,DAYA MATERIALS BERHAD 
8,EKA NOODLES BERHAD
9,KINSTEEL BHD
10,KUANTAN FLOUR MILLS BERHAD
11,LONDON BISCUITS BERHAD
12,MAA GROUP BERHAD
13,MALAYSIA PACIFIC CORPORATION BERHAD
14,MULTI SPORTS HOLDINGS LTD
15,PERISAI PETROLEUM TEKNOLOGI BERHAD
16,SEACERA GROUP BERHAD 
17,SUMATEC RESOURCES BERHAD
18,TH HEAVY ENGINEERING BERHAD
